name,keywords,description,lacoin,signup,activities,interesting,zoom,password,video
girls. ,"Helping Others, Awareness, Outreach, Community, Teamwork",We help girls in Africa who are in need of sanitary products by donating through the IFRC.,n,https://docs.google.com/forms/d/e/1FAIpQLSfceF5JprRUYRE9PVjBuT_CPFSFSpiBOjhkj9cg8WgjDt1-ZQ/viewform ,"We would be thinking of ways to fundraise and donate to the IFRC.  Furthermore, we'd look into possibly finding ways to individually donate the products.  ",This club helps empower women and gives them a chance to volunteer through helping other girls.,https://zoom.us/j/8273290911?pwd=WCtZSjBNRklkK0lmeTNMQkRvR0pWdz09,none,none
RAINN ,"Diversity, Awareness, Community, Outreach, Helping Others",RAINN aims to raise awareness for sexual harassment and assault in our immediate community. It is a safe place for survivors to come forward to get more resources and help. ,y,https://docs.google.com/spreadsheets/d/1PGag0V3kkmyYG37xFLbbXzLG8p-Ajp3_QypJkQ00dlg/edit?usp=sharing,"Club members will help plan events such as - bracelet awareness, piñata smashing etc. As well as discuss current world issues regarding sexual assault awareness and feminism. ","This club will push one to talk about the taboo behind sexual assault and will also push one’s creative boundaries while planning events. Additionally, it will impart knowledge about sexual assault and abuse from all over the world and make one a better rounded global citizen. ",https://us02web.zoom.us/j/6117471645,none,none
Viva Venezuela,"Awareness, Cultural, Community, Leisure, Outreach","Viva Venezuela seeks to make our community more aware of the hardships faced by the Venezuelan people. In addition, we aim to collect and send much-needed medical supplies to Venezuela.",y,https://forms.gle/36GPKsM4w9TypRF78,Club members will learn about the Venezuelan culture and become more aware of the country's current socioeconomic crisis. Club meetings might be spent eating Venezuelan food or even planning fundraisers to aid Venezuelan hospitals. We are hoping to build a community of people inspired to make change while having a good time.,Very few people are aware of this third world country's crisis and those who join will help change that and provide aid to those in dire need of help! ,https://zoom.us/j/3482971078?pwd=VE1DWks2b1gzSFA4cXN0Z3d0Q3pUQT09,none,none
Card Club,"Leisure, Sports, Creative, Teamwork, Community",We'll play card games over online platforms and hang out on Zoom calls. ,n,https://docs.google.com/forms/d/e/1FAIpQLScb6SgNuNH9c2Z7wM0dlEQPRYNAfgppuJWbJuNT4VsZ4O1muw/viewform?usp=sf_link,Probably just mess around and have fun together. ,"Since we're doing distance learning, we don't get to hang out and eat lunch with each other anymore — this is just kind of a fun excuse for us to spend time together. ",https://zoom.us/j/9943531088?pwd=MWhSMURSYlF3bDdVVlcxQXN5RGYxQT09,none,none
Peace in the Middle East Club,"Awareness, Outreach, Community, Food, Cultural",To create a safe space for students to learn and advocate for issues pertaining to the Israeli-Palestinian conflict and other Middle Eastern issues in hopes of bridging peace between various ethnicities in our community.,y,https://forms.gle/KZJUKcs655GszwFE8,Club members will participate in discussions and advocacy surrounding these topics. They can also take part in our fundraisers and other school-wide activities.,"Middle Eastern issues are rarely addressed at Los Altos High School and in the Bay Area. Our club is unique in that we bring in guest speakers, have cultural events and engage in discussions around these important issues.",https://us02web.zoom.us/j/88509500210?pwd=SXVkSnBtNUZBY3MzcmhLbUVUbUlOZz09,none,none
Desks for Students,"Helping Others, Outreach, Teamwork, Community, Education","We aim to build desks for students in need in our community through fundraising, build-a-thons, desk drives",y,https://docs.google.com/forms/d/e/1FAIpQLSdOL2X0ma8jwT3DScLHtlD3P2ndD_oUUm7wJZfdm8lAgQN51A/viewform?usp=sf_link,"planning fundraisers, outreach, building desks at their homes","super hands on, you can see what you've fundraised for, help the community",https://zoom.us/j/96875823801?pwd=d0ZGVjBueWI1Vlh4TG15dVhJQzZIUT09,none,none
Video Game Modifications Club,"Coding, STEM, Creative, Teamwork, Leisure","In this club, we will be predominantly working with Java to make modifications to different video games. The club is open to anyone so coding experience does not matter.",y,https://docs.google.com/forms/d/e/1FAIpQLSdFdBFrNI0FfUhgYWlBVAuYcpQEMF345b5xxu-MsB_UF06Bjg/viewform?usp=sf_link,"During their time, club members should be brainstorming and coding modifications for video games. By the end of the year, they should have at least one functioning modification for a video game.",People should join this club if they want to advance their passion in video games to fit their personal preferences and to be able to collaborate with others.,https://zoom.us/j/93899449441?pwd=Z0pmZnFXVCtCWGdHQkZqRTM4NWFydz09,none,none
End Parkinson's LAHS,"Helping Others, Awareness, Outreach, Education, Community","Our club aims to fundraise, advocate, and educate others about Parkinson's Disease. Our mission is to contribute to efforts to end Parkinson's and support Parkinson's patients. We offer members opportunities to earn volunteer hours and a chance to help others.",y,https://docs.google.com/forms/d/e/1FAIpQLSdVkIFjewKrm0ZngPVTfCTs_IjqO4LjX2Vt5qWgwRTcWmKbqA/viewform?usp=sf_link,"Club members would help plan fundraisers, events, and also do meaningful activities like writing cards to Parkinson's patients.","People should join this club because it is a great way to earn volunteer hours, as well as contribute to a good cause. If you are compassionate and want to help others this is the perfect club for you! ", https://zoom.us/j/92134086594?pwd=dHRHV3FpTjQ5VFRrUnJ6UjR4QUxRdz09,none,none
PBO (Pro-Bono Organizations) ,"Helping Others, Community, Teamwork, Outreach, Creative",Helping our society by fundraising money for organizations that offer pro-bono legal aid and raising awareness for causes in need,y,https://docs.google.com/forms/d/1GtnTmv9xODZHGhSIOojFqqYDAxViV3m-pZck3DWa2TM/edit?usp=sharing,- Team building and educational activities    <br>- Fundraising for organizations  <br>- Help inform the school/public of the cause,Because it is an opportunity to help our community and meet expand knowledge on a variety of issues while developing new friendships. <br>,https://zoom.us/j/91242874452?pwd=Q0tKSHdtQUJCSkFiYlpoem1QbGhRUT09,none,none
LAHS Real Talk,"Public Speaking, Community, Awareness, Education, Cultural","Real Talk seeks to empower youth with the skills and language necessary to engage in political discussion with empathy, curiosity, and respect. Our proprietary curriculum works to strengthen members’ critical thinking, news literacy, and civil discourse skills.",y,https://docs.google.com/spreadsheets/d/1QR_pOJmVCLLGvvKZRtPcSn3DXC_FBk3EzX7XVyFXEDw/edit?usp=sharing,"Members will engage in current event analysis, roundtable discussions, and team debates. They will also have the opportunity to attend workshops and webinars with various politicians, journalists, academics, and educators.","Students should join if they want to engage in open political dialogue with their peers as well as learn about current events, how to analyze news, and how to participate in effective civil discourse. ",https://zoom.us/j/95348219476?pwd=cnRjc2JpNjNmWHdUWXQ5NEFjbk5yQT09,none,none
Chemistry Olympiad,"STEM, Competition, Education, Teamwork, Community",Chemistry Olympiad is an opportunity for students to further their chemistry knowledge beyond the classroom. The club aims to expand membership base by attracting students who may otherwise not have the opportunity. ,n,https://forms.gle/vqkrptb5BoHdu6M76,Club members will engage in chemistry concepts throughout the year by participating in lessons and activities to prepare for the Chemistry Olympiad competition. ,"Students will able to enrich their chemistry learning experience by engaging in an outside environment to expand their knowledge in other forms (apart from the classroom environment). Not only is it an opportunity for science enthusiasts to have fun with the subject, but it is a great opportunity for students with interests in other areas to get experience with competitions and team-based learning (students learning from students). ",https://zoom.us/j/2045378806?pwd=K0NaNXVPcW1rL0NJK2NHejVqU3pyUT09,none,none
Science Olympiad,"STEM, Teamwork, Competition, Education, Leisure",Science Olympiad aims to bring together students interested in STEM to prepare and compete in a regional Science Olympiad competition.,y,https://forms.gle/TWT9eTkB99zErVYr7,"During meetings, club members will connect with like-minded students who share a passion for STEM. They will be given the opportunity to learn about topics of their choice and compete with other students in the county. ","With a wide range of events, students are able to discover their interests by exploring different science fields while building a sense of community within the team. Students receive the unique experience of participating in an established science competition with their peers.",https://zoom.us/j/94417431628?pwd=OG1rUnJtL1VBU1h5bHBLdWJIUkpHZz09,none,none
Indian Students Association,"Culutral, Diversity, Community, Awareness, Leisure","The purpose of this organization is to foster a spirit of cooperation among students of Indian origin, to promote understanding and appreciation of Indian culture and philosophy among the campus community by organizing events, and to enable Los Altos students and the citizens of the Los Altos community to gain an appreciation for cultural diversity.
",y,https://forms.gle/4piWArScHcJ6V4u36,Club members would be helping organize events and be participating in service projects taking place throughout the year.,This club is new and is a great place for new projects to take place. The club will also spread ideas of Indian culture and philosophy throughout the community. It is also very laid back and fun group to be part of.,https://zoom.us/j/92446401061?pwd=Sit2VHd4ZmxRdk1MeVNrZVZnKzladz09,none,none
MediReach,"Outreach, Community, Awareness, Helping Others, STEM",MediReach serves to provide medical support to underprivileged and underserved individuals in our community who lack the resources to receive proper care.,n,https://docs.google.com/forms/d/1vcmDrp4ON-XXbRr-xhubfRxU1MQB4uvfzxL4AGuPAzQ/edit,- Creating medical care packages for local homeless shelters<br>- Fundraisers to provide financial support for patients <br>- Guest talks with medical professionals to hone in on the field you're interested in<br>- Cards for young hospital patients all over the country<br>- Educating kids at local elementary and middle schools on healthy lifestyle habits,Our club is cool because it combines medicine with community outreach so you're learning about the medical field while also helping those in need.,https://zoom.us/j/99051899678?pwd=SGprQzZLZ21lTnJsQzBIN25aMDZnZz09,none,none
Journal Club,"Creative, STEM, Community, Public Speaking, Education",Journal Club serves as a vehicle for introducing cutting-edge scientific literatures to the LAHS student body. Students interested in science and research analyze and summarize science papers in writing introductory articles; recent article topics include medication and diagnostic test for COVID. ,y,https://forms.gle/1cFk1ed2mqTNUzVF7,Members meet on a regular basis to critically evaluate recently published scientific literatures. Meetings are hosted based on topics selected throughout the school year; one is encouraged to not only discuss but also write journalism on the articles interpreted as a group. Sometimes we analyze data and graphs. Check out our past publications and sign up! ,"Reading science papers along could be frustrating, but collaborating with a group of peers and summarize articles for each other provides you a different approach. Students with all backgrounds are welcomed to join; if you might be interested or are interested in science, this is the place for you. There's no set ways in how one chooses to participate in -- reading our articles, join paper discussions, or write and present scientific topics you are fascinated by -- whatever you find fit. ",https://zoom.us/j/91778462902?pwd=am80U245OWxNQXJmV2pNRy81R3dpUT09,none,none
Girls Who Code Club,"STEM, Coding, Diversity, Education, Community","Girls Who Code Club seeks to close the gender gap in technology and provide a safe space for girls and nonbinary students to be educated, inspired, and equipped with computing skills that can help them in future endeavors. Members will complete multiple projects that span various coding languages, learn communication and teamwork skills, and be able to participate in  opportunities that can be included on their resumes. ",y,https://forms.gle/N5aeRivwEw2Uqim46,"Club meetings will include time for members to complete multiple projects that span various coding languages, be inspired by women who have contributed to the tech community, and learn industry skills.","Girls Who Code Club is a super fun, chill, and inclusive learning environment! You get to decide what projects you want to focus on and you may complete them at whatever pace you need. Absolutely no experience is necessary and any computer, including a school Chromebook, can be used.",https://zoom.us/j/99063176185?pwd=cHFGWWloVzdEYmhvcElJcUpPTFFydz09,none,none
Make A Birthday Wish,"Helping Others, Outreach, Awareness, Leisure, Community","Make A Birthday Wish plans and executes community birthday parties for low income children of all ages in the East Palo Alto area. For this year, our club will readjust to continue helping our targeted community in a safe manner.",y,https://docs.google.com/forms/d/e/1FAIpQLSf3yWJGCKwQF6pyDGG7x9EiPXad7oXAD29-ychUHZIRaLZFIA/viewform?usp=sf_link,"Club members will be learning about the needs of their community, helping brainstorm and plan ways to help the low income families, and, depending on the current situation, organize and participate in community birthday parties!","Our club allows members to learn more about their community, help children in their community receive more opportunities, and interact with them. It is a good way for people to help others locally while having fun organizing and throwing birthday parties!",https://zoom.us/j/95463019578?pwd=UWxBOTRUaWdtQWlVZ3RGdG5pSXRSZz09 ,none,none
Adventure Club,"Sports, Community, Teamwork, Leisure, Creative",To encourage students to have fun outdoors.,y,https://forms.gle/PHTK7nSbvc9FKo6N9,"Possibly going on hikes (that's what we did last year), but this year we'll have to think of new activities.","This club is great if you want to meet new people and possibly go outside to do some socially-distanced, mask-wearing activities.",https://meet.jit.si/DirectPhysiciansEmphasizeAlways ,none,none
LAHS De-Stress,"Community, Leisure, Art, Music, Helping Others","The purpose of the club is to help teens de-stress from school and/or work. In this club there will be a variety of activities such as meditation, yoga, making friendship bracelets, journals, de-stress lectures, etc. ",n,https://docs.google.com/forms/d/e/1FAIpQLSc_P4IgsGUmPUTYSkzuNl1rMVFDGVWcmxyKP7avJ3yivB0nGQ/viewform?usp=sf_link ,"Meditation, yoga, jounal-making, chalk art, drawing/doodling/coloring, making friendship bracelets, board games/camp games (maybe not because it's not in person), de-stress lectures, just talking",It's a fun way to spread positivity and isn't high maintenance either (you wouldn't have to do any work outside the meetings unless you're a club officer). It's also a nice break from school assignments and other things in students lives.,https://zoom.us/j/91544319903?pwd=VUNkVTUxZyt3MGp0WkY1SXpVRkVNUT09 ,none,none
Psychology Club,"Education, Community, Awareness, STEM, Creative","The psychology club aims to explore a variety of mental health topics and cognitive sciences. In addition, our club will seek to learn about different career paths that can be pursued through psychology.",y,https://docs.google.com/forms/d/e/1FAIpQLSd1wf4izo3l0ZA01TaVnK1u1RYVyZmplwx6KhdNRD0bZwK5lg/viewform?usp=sf_link,Explore different career directions psychology can take<br>Personality test<br>Guest speakers<br>Field trips/social events<br>Recreate famous experiments that people like Charles Darwin has done<br>Service animals<br>Therapy techniques<br>Dream analysis<br>Hypnosis<br>Overcoming phobias<br>Iq testing,The psychology club allows members to get more in touch with themselves and learn skills that could be of service to people around them.,https://zoom.us/j/92926334638?pwd=TXlxVFF5MFRFaHU5Rjk3SjBIVTR0Zz09,none,none
Teen Tutors,"Education, Community, Helping Others, STEM, Creative",Teen Tutors is a club that provides homework help to the local elementary and middle school students as well as reading comprehension workshops for children in partnership with the Los Altos Public Library.,n,https://teentutorslahs.wixsite.com/lahs ,"- Members will be tutoring these students and assisting children with their reading virtually, through Zoom","- This club is an incredible opportunity to help our your community with everything that we are going through! Children are bored at home and need help with their schoolwork, and you can be the one to help them out!",https://zoom.us/j/95867286740?pwd=ZUd4aXRVWVhQNGZYYkF1Nm5pVmw1dz09,none,none
Field Hockey,"Sports, Competition, Teamwork, Community, Leisure","Our field hockey team (club) strives to compete and honor the game in SCVAL athletics for LAHS, and to enrich athlete's lives with a combination of conditioning, skills training, competition and team activities.",n,https://lahs.mvla.net/Athletics/Fall-Sports/Field-Hockey/index.html,"Normally a fall sport. Varsity practices 6 days a week, JV practices 5 days a week. Both teams have games twice a week. We are a fall sport. We also run voluntary workouts and practice in spring and summer.","Field hockey is a wonderful, competitive sport. Our athletes learn fitness, toughness and play with a strong competitive spirit. All of the girls on both teams form friendships that last throughout their high school years.",none,none,none
Stand Up to Cancer ,"Health/Disabilities, Helping Others, Awareness, Teamwork, Outreach","The function of the club is to raise awareness and support cancer research through fundraisers, while also connecting directly with cancer patients. ",y,https://docs.google.com/forms/d/1gVsFfPaXIOYUfXTU5cL546FzDHrnckYMxFM-Cp7u97g/edit,"During club meetings, we plan future fundraisers and discuss ideas to better raise awareness on campus and in the community. Our activities focus on brightening cancer patients' days and include sending words of encouragement, creating paintings, and other projects. ","Not only do we support cancer research, but we also try to help people going through cancer on a personal level. If you are interested in making meaningful change in our local community and in the lives of those affected by cancer, please join!",https://zoom.us/j/93130019841?pwd=aVQzK2hGZkFUZXdlN1gzOHlzRGpJQT09,none,https://www.youtube.com/embed/qyaLMOVykeU
F.I.R.E.S. - Fire prevention Impact Respond Emergency preparedness Spread awareness,"Outreach, Awareness, Helping Others, Education, Community ","In the F.I.R.E.S. club, we aspire to educate and spread awareness about the California fires in addition to doing our part to help both ourselves and others prepare for, prevent, and respond to fires. ",y,https://docs.google.com/forms/d/e/1FAIpQLSdUWpmjwsv2T738ioMw86bVYa6QqzL_urHEgwH5mOxPZeMG6w/viewform ,"During our meetings, club members would be learning and spreading awareness about the California fires. Club members will also be looking at ways that they, as high school students, can help prevent, prepare for, and respond to fires.","Our club aims to make an impact on a major problem we are facing in California: wildfires. By joining this club, students can learn about and give back to the community by contributing to lessening the damage caused by fires.",https://zoom.us/j/99187671902?pwd=bkhMT3d0WXZibDU5Z0lmQ3c2a25Ydz09  ,none,none
Key Club,"Helping Others, Community, Leadership, Teamwork, Outreach","Key Club is a service and leadership organization, with an emphasis on building community with others.",y,https://forms.gle/fz5zaxEbJ3Np99Le7,Service projects during club meetings<br><br>Volunteer events and district and international Key Club events outside of school!,"Meet lots of new people from California, Nevada, and Hawaii<br><br>Be able to serve the community with your friends!",https://zoom.us/j/99570233117?pwd=b1VaSmoyZ3VWd3pHS2JmcU1QeDY2UT09,none,none
LAHS Hack Club,"Coding, STEM, Education, Teamwork, Design","Our club aims to encourage, inspire, and teach computer science and programming to LAHS students. No experience is required and we teach a range of subjects from web development to machine learning.",y,https://forms.gle/NCrjbDkKv7qvg5gR8,"Members can choose from one of four tracks: Web development, mobile development, game development, or python. Beginners with little to no programming experience are encouraged to take the python or web development tracks, and can later in the year if they choose to progress to other courses. <br>They can also help build websites for school clubs using their news skill and build a portfolio.","Whether programming has been something you’ve been doing for years, or you’ve just been curious about it, or don’t even know what it is, hack club gives you the opportunity to learn a new skill that is going to be heavily valued in the near future. Students can create a portfolio and gain access to many paid resources, including personal domains.",https://zoom.us/j/99401918686,hackS,none
Student Athlete Leadership Team,"Sports, Leadership, Community, Teamwork, Outreach","A place for Student-Athletes to develop leadership skills, discuss sports training and plan community-building projects. ",y,https://forms.gle/KECJC6JyqtmZzmvX7,"Club members will participate in sports training discussions, leadership building exercises, plan community events, and have workouts together. ",Students should join to connect with fellow Los Altos athletes and take an active role in community leadership.,https://us02web.zoom.us/j/2970966829?pwd=OEpmaFhmT1BPZTZzZmFMaGF2THdPZz09,none,none
Finance & Entrepreneurship Club ,"STEM, Leisure, Competition, Teamwork, Creative",The Finance & Entrepreneurship club helps students who want to learn more about the field of business and entrepreneurship experience things most start-ups go through and create a pitch to present their idea to others. We also encourage them to participate in the virtual entrepreneurship competitions. ,y,https://forms.gle/tvFb3jxgKw5YE86W6,They will be coming up with their own creative idea and will record a pitch presentation broadcasting their idea and the logistics behind it.  , We offer many competitions club members can attend. The majority of them include cash prices that anyone could win. All competitions are virtual. ,https://us02web.zoom.us/j/88479565539?pwd=TW0rSXpvSXZjMXNReG5oWUxFQXBhQT09,none,none
Jumpstart Mentor Club,"Helping Others, Outreach, Teamwork, Community, Education",We will be conducting meetings for the Jumpstart Mentor program and will brainstorm ideas along with discussing events.,n,https://docs.google.com/forms/d/e/1FAIpQLSesTeLtS58YGdQ3JMq6a81qIz0uvCiFT8QG-_R6VIHhfj-6OQ/viewform?usp=sf_link,Brainstorming future events/activities and discussing previous events/activities.,The jumpstart mentor program is a great opportunity to give back to the LAHS community and helps develop interpersonal skills.,https://zoom.us/j/93430904197?pwd=V0c0VFVuZktpRGdWOExZNENNcHdXdz09,none,none
Be Okay club ,"Health/Disabilities, Outreach, Awareness, Community, Leisure",The club is based on the idea that it is okay not be at your best 100% of the time and that it is important to enjoy and notice the small things everyday. We also want to normalize taking care of one's mental health as well as advocate for a variety of mental health issues.,y,https://forms.gle/akkTV2BsBbChMGyC8,Coming up with fun event ideas. Voicing their thoughts on how to publicize mental health issues. Coming up with mental health topics to address. Coming up with ways to deal with stress and pressure. ,The club takes a fun new twist on how to deal with mental health. The main goal of the club is to create a fun environment where people can destress and have something to get them through the rest of the day. You also get to learn about a variety of mental health issues and how to deal with them! ,https://zoom.us/j/91368876409?pwd=RU5KT2FUTWREN2RaYVRUekZuc3F6dz09,none,none
TEDxLAHS,"Public Speaking, Creative, Art, Community, Education","The TEDxLAHS club plans for the TEDx event at LAHS, a day in the spring when students and adults have the opportunity to give TED talks for our school. Members of this club help plan the event and find speakers!",n,https://docs.google.com/spreadsheets/d/1oHB8p5WuaKX3sxuGYqJhjQLcH4qtDv_QYcsfgmsRmCM/edit?usp=sharing,"Club members would help brainstorm what TEDx will look like this year, since we may not be able to have an in person event (we may host a webinar instead). Club members can also reach out to people who they feel would deliver a great TED talk for event day (students or adults).","People should join our club because it will further their leadership skills and give them an exciting event to plan for. We are always open to new ideas from club members, and it is very rewarding watching the event occur after much work, dedication, and creativity was put into it by the club members.",https://zoom.us/j/94003326736?pwd=eHplcFpvL09RM1FBb1NlT3hHZTQ4dz09,none,none
Red Cross Club,"Health/Disabilities, Outreach, Awareness, Community, Education","The Red Cross Club works as a subset of the American Red Cross, supporting their mission of humanitarian aid, and serves the community through service, education, and leadership. ",y,https://forms.gle/Kh8QX14xJJ19Aauv5,- Blood drives<br>- Fundraisers<br>- Disaster Preparedness<br>- CPR Certification<br>- Service Projects<br>- Disaster Relief<br>- Emergency Preparedness,- College and career skills<br>- Resume-building experience<br>- Networking opportunities with community leaders<br>- Service learning experiences<br>- Community service hours required for graduation<br>- Public speaking skills<br>- Leadership skills<br>- Volunteer experience and much more!,https://us04web.zoom.us/j/75525645171?pwd=UUxXREpia1pwMUxtTXE1R3NTSmZoUT09,none,none
March For Our Lives,"Helping Others, Public Speaking, Community, Education, Awareness","We want to bring awareness and make a difference to gun violence laws (or lack of laws) in our community. In this club we will spread awareness, attend city council meetings and marches, and raise money for this cause.",y,https://forms.gle/b1TZXt3hDepiB1gf6,"We would be planning city council meetings to attend, fundraisers, and marches to attend. We would also be educating ourselves and our school, on how we can make a difference.","Someone should join because we have the ability to make a difference in our community and save lives, which is a pretty awesome opportunity given to us.",none,none,none
Connect Club,"Cultural, Education, Community, Leisure, Art","To teach students common words and phrases of different languages every month, and to learn about different cultures.",n,https://forms.gle/knxeSNkEN7A6N7LbA,"Club members will play games, watch funny videos, and eat food (if we ever go back in person). Most importantly, you'll have fun!","While we are ""learning,"" it is a fun environment, and you can choose to participate as much as you want. We play fun games, at it's very low committment.",https://zoom.us/j/93289830292?pwd=SjRsYjc4QW8xTzJoUStESzUzWGZ3dz09,none,none
Girltelligence,"Helping Others, Diversity, Outreach, Health/Disabilities, Leadership",A club dedicated to empower girls and women. We will meet to discuss and take action on issues affecting girls and women as well as help girls using the Girltelligence app (all genders welcome)!,y,https://docs.google.com/forms/d/e/1FAIpQLScX08VQadyW1z3Fe0AgvvwrM7ux-gsneOHh5tuBLYpTfHBA-A/viewform?usp=sf_link,We will work on service projects to raise awareness on issues chosen by the club members. We will have discussions and talks from guest speakers as well. ,Feel free to bring in discussion topics and issues you are passionate about! You can email ahead to stay anonymous but it's totally a safe space. We will have guest speakers such as app creator and Stanford psychiatrist Naama Barnea-Goraly. , https://mvla-net.zoom.us/j/95223994836,none,none
French Club,"Cultural, Helping Others, Community, Art, Teamwork","French Club was created in hopes of sharing our appreciation of Francophone culture and the French language, in addition to raising funds for Doctors Without Borders.",y,https://forms.gle/aR1MkRUJ39FS3z748,"Learning about Francophone culture with fun and engaging activities, Helping us plan and run fundraisers and other events, Meeting new friends with similar interests, Learning fun new words in French, Helping us expand our membership and come up with ideas as a group!  **It is not required for students be enrolled in a French language class, ALL are welcome!","We are looking for new members, regardless of their knowledge of French or Francophone culture! We always have lots of good food, and throw multiple parties a year. We are also known across campus for our famous Nutella crêpe fundraisers!",https://us02web.zoom.us/j/82850922002?pwd=YkxnekFLOVZvc284UzhHUVNCQisyUT09,none,none
Junior State of America,"Public Speaking, Teamwork, Education, Leisure, Creative","JSA serves to highlight important political events and news in an open forum for debate, discussion, and thought. We welcome opinion across the political spectrum—everyone's thoughts mean something, and should be treated as such.",y,https://docs.google.com/forms/d/e/1FAIpQLSezAqSQ2XIKm7_B98y8ETxjEkWN5nwQkwXmi1-K0-zWS-hp7w/viewform,"Taking the role of national leaders in World Politics Simulations, discussing modern policy and politics, work out law in Congressional Simulations, have meaningful debate.","JSA is the largest student-run organization in the US. Our environment welcomes every political belief, and we seek to learn from what others believe. Not only are we able to seriously discuss heavy subjects, but we also have a bit of fun with simulation activities.",https://us04web.zoom.us/j/79420016067?pwd=VWQxU2tqOXgwMUh6dmQ3MVJmNnJ0UT09,none,none
Jewish Culture Organization,"Cultural, Food, Public Speaking, Leisure, Community","The club serves to increase understanding of Jewish culture, tradition, & current issue. Also to celebrate the unique elements of Israeli lifestyle, culture, and Jewish Tradition.",y,https://docs.google.com/forms/d/e/1FAIpQLScOd4PdZuWC-mRDyQ8IQR3ATKQ8AEDaqQ3joEfmWexNRjClIg/viewform?usp=sf_link,-Celebrating Jewish Holidays with good food and games.<br>-Engaging in the exciting elements of Israeli culture.,"-Fun activities with friends, and food at every meeting.<br>-Opportunity for leadership positions and new initiatives surrounding Jewish Culture",https://us04web.zoom.us/j/71041025125?pwd=RnUzMTMzeVVrUkM3NDlmNmFuWnBVZz09,none,none
Latino Student Union,"Community, Art, Music, Cultural, Leadership ","To spread appreciation for Latino culture, and awareness for problems facing the Latino world.",y,https://docs.google.com/spreadsheets/d/1nB56r5mvTKcL9-AHm6JMCAutRrXNOAg8PAQNtBjtxqw/edit?usp=sharing,"-Learning about culture from different Latino countries -Help planning events like Dia de Los Muertos, Homecoming decorating and parade ect. -Community building through activities  ","LSU is a community centered in Latino culture. LSU gives it's members the oppurtunity to appreciate their latino culture, or learn more about it.",https://zoom.us/j/91461483240,7trZJc,none
Idea Central,"Leadership, Creative, Education, Community, Leisure","To encourage everyone to pursue their own passion projects by learning the principles of business, marketing and design. Passion projects can be anything that makes an impact on the community.",y,https://forms.gle/3GxgQxFyq2ZdfWSh6,"- participating in business-related discussions and activities<br>- working on projects connected to your passion (ex: politics, fashion, food, video games, art, pretty much anything you're interested in)<br>- communicating with other club members on their projects<br>- having fun!",- you'll gain valuable experience in business/marketing design<br>- you'll join a diverse community of people pursuing different topics<br>- go as far as starting your own nonprofit or small business!,https://zoom.us/j/92985395263?pwd=TVUyclVMNlg1UTM0d3AxRFozTmlpdz09,none,none
Physics Club,"Design, Competition, STEM, Teamwork, Community",To inspire students to pursue physics and encourage them to explore and compete in this subject,y,https://docs.google.com/forms/d/e/1FAIpQLScXDjTijD5UfiCBbMBVtIO8SU1fwZEFQWUojk0BjKrsobntgg/viewform?usp=sf_link,"People would learn physics together, solve and discuss problems, seek help if needed, and connect with others interested in Physics.","It is an open club for all members and a great opportunity to strengthen math, science, and problem-solving skills. People can work together in an enriching environment and have fun. ",https://us04web.zoom.us/j/75680971932?pwd=dHAzTGxMbDR0RnYrZnRWdVRoZXpZZz09,none,none
